Time,Reading
0,521
100,521
200,521
301,520
401,520
501,521
602,520
702,520
802,521
903,520
1003,520
1103,521
1205,520
1305,520
1405,520
1506,520
1606,520
1707,520
1807,520
1907,520
2008,521
2109,520
2209,521
2310,520
2410,520
2510,521
2611,520
2711,520
2811,520
2912,520
3013,520
3113,520
3214,521
3314,521
3415,520
3515,520
3615,520
3716,520
3816,520
3917,520
4018,520
4118,520
4218,520
4319,521
4419,520
4519,520
4620,520
4720,521
4822,520
4922,521
5022,520
5123,520
5223,520
5323,520
5424,521
5524,520
5624,520
5726,521
5826,520
5926,520
6027,520
6127,520
6227,520
6328,521
6428,521
6529,520
6630,520
6730,520
6831,520
6931,520
7031,520
7132,520
7232,520
7332,520
7433,520
7534,520
7634,521
7735,520
7835,520
7936,521
8036,520
8136,520
8237,520
8337,520
8438,520
8539,520
8639,521
8739,521
8840,520
8940,521
9040,521
9141,520
9241,520
9342,521
9443,521
9543,521
9644,520
9744,521
9844,520
9945,520
10045,520
10146,521
10247,520
10347,521
10447,520
10548,520
10648,520
10748,520
10850,521
10950,521
11051,520
11151,520
11251,520
11352,520
11453,520
11553,521
11654,520
11754,521
11854,521
11955,521
12055,521
12156,521
12257,521
12357,521
12457,520
12558,520
12658,521
12760,520
12860,520
12960,520
13061,520
13161,520
13261,521
13362,521
13463,520
13563,521
13664,520
13764,521
13864,521
13965,520
14066,521
14167,521
14267,520
14367,520
14468,520
14568,520
14668,520
14770,520
14870,521
14970,521
15071,521
15171,521
15271,521
15373,521
15473,521
15574,521
15674,520
15774,521
15875,521
15975,520
16076,521
16177,521
16277,521
16377,521
16478,521
16578,520
16679,520
16780,521
16880,521
16980,521
17081,521
17181,521
17282,521
17383,521
17483,521
17584,521
17684,521
17784,521
17885,522
17986,522
18086,522
18187,522
18287,522
18387,523
18488,523
18588,523
18690,523
18790,523
18890,523
18991,523
19091,523
19191,524
19293,524
19393,524
19493,524
19594,524
19694,525
19794,525
19895,525
19996,525
20097,526
20197,526
20297,526
20398,526
20498,526
20599,526
20700,526
20800,527
20900,527
21001,527
21101,527
21201,527
21303,527
21403,527
21504,527
21604,528
21704,528
21805,528
21906,528
22006,529
22107,529
22207,529
22307,530
22408,530
22509,530
22609,530
22710,530
22810,531
22910,531
23011,531
23111,531
23213,532
23313,532
23413,532
23514,532
23614,533
23714,533
23816,533
23916,533
24016,533
24117,534
24217,534
24317,534
24418,534
24519,534
24620,535
24720,535
24820,535
24921,536
25021,537
25122,537
25223,537
25323,538
25423,539
25524,538
25624,539
25725,540
25826,540
25926,540
26027,541
26127,541
26227,542
26328,543
26429,542
26529,543
26630,544
26730,544
26830,544
26931,544
27032,545
27132,545
27233,545
27333,545
27433,546
27534,546
27634,548
27736,548
27836,549
27936,550
28037,550
28137,551
28237,551
28339,552
28439,553
28539,553
28640,554
28740,555
28840,556
28941,556
29042,556
29143,557
29243,557
29343,557
29444,557
29544,558
29645,558
29746,558
29846,559
29946,559
30047,559
30147,560
30248,560
30349,560
30449,561
30550,561
30650,561
30750,562
30851,563
30952,563
31052,563
31153,564
31253,564
31353,564
31454,565
31555,566
31655,566
31756,567
31856,567
31956,567
32057,568
32158,568
32259,569
32359,569
32459,569
32560,570
32660,570
32760,570
32862,570
32962,570
33062,570
33163,571
33263,571
33363,571
33465,572
33565,572
33666,573
33766,573
33866,573
33967,574
34067,574
34168,574
34269,575
34369,575
34469,575
34570,576
34670,576
34771,576
34872,577
34972,577
35073,577
35173,578
35273,578
35374,578
35475,578
35575,578
35676,579
35776,580
35876,579
35977,580
36078,579
36178,580
36279,580
36379,581
36480,582
36580,582
36681,581
36782,582
36882,582
36982,582
37083,582
37183,583
37283,582
37385,582
37485,582
37585,582
37686,582
37786,582
37886,582
37988,582
38088,582
38189,581
38289,581
38389,580
38490,580
38591,579
38691,579
38792,578
38892,577
38992,576
39093,575
39193,575
39294,573
39395,573
39495,572
39596,572
39696,571
39796,570
39898,570
39998,570
40098,569
40199,568
40299,567
40399,567
40500,567
40601,566
40701,565
40802,565
40902,565
41003,564
41103,564
41204,563
41305,563
41405,562
41505,562
41606,562
41706,561
41806,561
41908,561
42008,560
42108,560
42209,560
42309,559
42409,559
42511,559
42611,558
42712,558
42812,558
42912,557
43013,557
43114,557
43214,557
43315,556
43415,556
43515,556
43616,555
43716,555
43817,555
43918,554
44018,554
44119,554
44219,553
44319,553
44421,553
44521,553
44621,553
44722,553
44822,552
44922,552
45023,552
45124,551
45224,552
45325,551
45425,551
45526,551
45626,550
45727,550
45828,550
45928,550
46028,550
46129,550
46229,549
46330,549
46431,549
46531,549
46631,548
46732,548
46832,548
46932,548
47034,548
47134,548
47235,547
47335,548
47435,547
47536,547
47637,547
47737,547
47838,547
47938,546
48038,546
48139,546
48239,546
48340,546
48441,546
48541,545
48642,545
48742,545
48842,545
48944,545
49044,545
49144,544
49245,544
49345,544
49445,544
49547,544
49647,544
49747,544
49848,544
49948,544
50049,544
50149,544
50250,544
50351,543
50451,543
50551,543
50652,544
50752,543
50853,543
50954,542
51054,542
51154,542
51255,542
51355,542
51456,542
51557,542
51657,542
51758,542
51858,542
51958,542
52059,541
52160,541
52260,541
52361,541
52461,541
52561,541
52662,541
52763,541
52864,540
52964,540
53064,540
53165,540
53265,540
53365,540
53467,539
53567,539
53667,539
53768,539
53868,539
53968,539
54070,539
54170,539
54270,539
54371,538
54471,538
54572,538
54672,538
54773,538
54874,538
54974,538
55074,537
55175,537
55275,537
55376,537
55477,537
55577,538
55677,538
55778,537
55878,537
55980,537
56080,537
56180,537
56281,537
56381,537
56481,537
56582,536
56683,536
56783,536
56884,536
56984,536
57084,536
57185,536
57286,536
57387,536
57487,536
57587,536
57688,536
57788,536
57889,536
57990,536
58090,535
58190,535
58291,536
58391,535
58491,535
58593,535
58693,535
58793,535
58894,536
58994,535
59095,535
59196,535
59296,535
59397,535
59497,535
59597,535
59698,534
59798,535
59899,534
60000,534
60100,535
60200,535
60301,534
60401,534
60503,534
60603,534
60703,534
60804,534
60904,534
61004,534
61106,534
61206,535
61306,534
61407,534
61507,534
61607,533
61708,533
61809,534
61910,533
62010,533
62110,534
62211,533
62311,534
62412,534
62513,533
62613,534
62713,533
62814,533
62914,533
63014,533
63116,533
63216,533
63316,533
63417,533
63517,533
63618,533
63719,533
63819,532
63920,533
64020,532
64120,532
64221,532
64322,532
64422,532
64523,532
64623,532
64723,532
64824,532
64924,532
65026,532
65126,532
65226,532
65327,532
65427,532
65527,532
65629,532
65729,532
65829,532
65930,532
66030,531
66130,531
66231,531
66332,531
66433,532
66533,532
66633,532
66734,531
66834,532
66935,532
67036,532
67136,531
67236,531
67337,531
67437,531
67538,531
67639,531
67739,531
67840,531
67940,531
68040,531
68141,531
68242,531
68342,531
68443,531
68543,531
68643,531
68744,531
68845,531
68945,531
69046,531
69146,531
69246,531
69347,531
69447,531
69549,531
69649,530
69749,531
69850,531
69950,530
70050,530
70152,531
70252,530
70352,531
70453,531
70553,530
70653,530
70755,530
70855,530
70956,531
71056,530
71156,530
71257,530
71357,530
71458,530
71559,530
71659,530
71759,530
71860,530
71960,530
72061,530
72162,530
72262,530
72363,530
72463,530
72563,530
72665,529
72765,530
72865,530
72966,530
73066,530
73166,530
73267,530
73368,529
73468,529
73569,530
73669,530
73769,529
73870,530
73971,530
74072,530
74172,530
74272,530
74373,529
74473,530
74573,529
74675,529
74775,529
74875,530
74976,529
75076,529
75176,529
75278,529
75378,529
75479,529
75579,529
75679,529
75780,529
75881,530
75981,529
76082,529
76182,529
76282,530
76383,529
76483,529
76584,529
76685,529
76785,529
76886,529
76986,529
77086,529
77188,529
77288,529
77388,529
77489,529
77589,529
77689,529
77791,528
77891,529
77991,529
78092,528
78192,528
78292,528
78393,529
78494,529
78595,528
78695,528
78795,528
78896,528
78996,528
79097,528
79198,528
79298,528
79398,528
79499,528
79599,528
79700,528
79801,529
79901,528
80002,528
80102,528
80202,528
80303,528
80404,528
80504,528
80605,528
80705,528
80805,528
80906,528
81007,528
81107,528
81208,529
81308,528
81409,528
81509,528
81609,528
81711,527
81811,528
81911,527
82012,528
82112,528
82212,528
82314,528
82414,528
82514,528
82615,528
82715,528
82816,527
82917,528
83017,528
83118,528
83218,527
83318,527
83419,528
83519,527
83620,527
83721,527
83821,528
83921,527
84022,527
84122,528
84224,527
84324,527
84424,527
84525,527
84625,527
84725,527
84826,527
84927,527
85027,527
85128,527
85228,527
85328,527
85429,527
85530,527
85630,527
85731,527
85831,527
85932,527
86032,527
86132,527
86234,527
